,Variable,Parameter,Gini
0,savings_upper,36364.27272727273,0.5960290630012414
0,savings_upper,36364.27272727273,0.6102646314699794
0,savings_upper,36364.27272727273,0.5783387958995411
0,savings_upper,36364.27272727273,0.5557477995569718
0,savings_upper,36364.27272727273,0.5835756669863194
0,savings_upper,36364.27272727273,0.5486577555198807
0,savings_upper,36364.27272727273,0.6009438403475821
0,savings_upper,36364.27272727273,0.5497839734031947
0,savings_upper,36364.27272727273,0.5267819409540032
0,savings_upper,36364.27272727273,0.5937652466953143
0,savings_upper,36364.27272727273,0.5699582803968242
0,savings_upper,36364.27272727273,0.5590712861709053
0,savings_upper,36364.27272727273,0.5921846401450187
0,savings_upper,36364.27272727273,0.5975491257464542
0,savings_upper,36364.27272727273,0.5779187728576678
0,savings_upper,36364.27272727273,0.6184421005425774
0,savings_upper,36364.27272727273,0.5818632827222134
0,savings_upper,36364.27272727273,0.5783978643787058
0,savings_upper,36364.27272727273,0.5124632765856383
0,savings_upper,36364.27272727273,0.591711122388744
0,savings_upper,36364.27272727273,0.6005385208743184
0,savings_upper,36364.27272727273,0.5633275290828391
0,savings_upper,36364.27272727273,0.5363495741504841
0,savings_upper,36364.27272727273,0.5557283108052311
0,savings_upper,45455.09090909091,0.5243482156045444
0,savings_upper,45455.09090909091,0.5703992354095837
0,savings_upper,45455.09090909091,0.5358349777788144
0,savings_upper,45455.09090909091,0.5607649278342667
0,savings_upper,45455.09090909091,0.5742970088400414
0,savings_upper,45455.09090909091,0.5719644086353038
0,savings_upper,45455.09090909091,0.5743163382371833
0,savings_upper,45455.09090909091,0.5815454167682886
0,savings_upper,45455.09090909091,0.6125193573578899
0,savings_upper,45455.09090909091,0.5359761559463788
0,savings_upper,45455.09090909091,0.5564086800196216
0,savings_upper,45455.09090909091,0.5684572206541917
0,savings_upper,45455.09090909091,0.5934002144792552
0,savings_upper,45455.09090909091,0.5965710361316054
0,savings_upper,45455.09090909091,0.5009522929453789
0,savings_upper,45455.09090909091,0.633956722862423
0,savings_upper,45455.09090909091,0.46931552332551096
0,savings_upper,45455.09090909091,0.5362298712839167
0,savings_upper,45455.09090909091,0.5620429781660478
0,savings_upper,45455.09090909091,0.5612898745726727
0,savings_upper,45455.09090909091,0.5727779609354343
0,savings_upper,45455.09090909091,0.5995404833311087
0,savings_upper,45455.09090909091,0.5611511171324439
0,savings_upper,45455.09090909091,0.583747179160749
0,savings_upper,45455.09090909091,0.558536196667954
0,savings_upper,45455.09090909091,0.5727133219753209
0,savings_upper,45455.09090909091,0.6048494381710461
0,savings_upper,45455.09090909091,0.5756072939985104
0,savings_upper,45455.09090909091,0.6172264444642759
0,savings_upper,45455.09090909091,0.6012143869134718
0,savings_upper,45455.09090909091,0.5371055095369192
0,savings_upper,45455.09090909091,0.5955551107059145
0,savings_upper,45455.09090909091,0.5268747653927206
0,savings_upper,45455.09090909091,0.5774469926868709
0,savings_upper,45455.09090909091,0.5697171291358568
0,savings_upper,45455.09090909091,0.6629565827702676
0,savings_upper,45455.09090909091,0.5442207845514144
0,savings_upper,45455.09090909091,0.5872296375756348
0,savings_upper,45455.09090909091,0.5364904159774434
0,savings_upper,45455.09090909091,0.5723304833253231
0,savings_upper,45455.09090909091,0.5696798087258037
0,savings_upper,45455.09090909091,0.5479379506540043
0,savings_upper,45455.09090909091,0.6069815999650732
0,savings_upper,45455.09090909091,0.6096262708289646
0,savings_upper,45455.09090909091,0.5761778836060076
0,savings_upper,45455.09090909091,0.5542351747110824
0,savings_upper,45455.09090909091,0.5679916378522754
0,savings_upper,45455.09090909091,0.5974394283895857
0,savings_upper,45455.09090909091,0.5420186711215098
0,savings_upper,45455.09090909091,0.5510238006891501
0,savings_upper,54545.90909090909,0.5692572744449954
0,savings_upper,54545.90909090909,0.5781361887452313
0,savings_upper,54545.90909090909,0.5300126963149063
0,savings_upper,54545.90909090909,0.5643711247414932
0,savings_upper,54545.90909090909,0.5728583726343499
0,savings_upper,54545.90909090909,0.5759314766615395
0,savings_upper,54545.90909090909,0.5764459726794587
0,savings_upper,54545.90909090909,0.5326377283596887
0,savings_upper,54545.90909090909,0.5549877787483247
0,savings_upper,54545.90909090909,0.5636937349158666
0,savings_upper,54545.90909090909,0.5785241663780739
0,savings_upper,54545.90909090909,0.5447204543011135
0,savings_upper,54545.90909090909,0.6109059808050563
0,savings_upper,54545.90909090909,0.5341113684400088
0,savings_upper,54545.90909090909,0.5767784683104062
0,savings_upper,54545.90909090909,0.5793183610817657
0,savings_upper,54545.90909090909,0.5875096178411564
0,savings_upper,54545.90909090909,0.5402402413737448
0,savings_upper,54545.90909090909,0.527580714475008
0,savings_upper,54545.90909090909,0.5653507231978409
0,savings_upper,54545.90909090909,0.5897966184117673
0,savings_upper,54545.90909090909,0.5729083281584091
0,savings_upper,54545.90909090909,0.5050112005990766
0,savings_upper,54545.90909090909,0.5558622140867574
0,savings_upper,54545.90909090909,0.5426554386663677
0,savings_upper,54545.90909090909,0.5541591764746533
0,savings_upper,54545.90909090909,0.5502969302448532
0,savings_upper,54545.90909090909,0.5786403905788908
0,savings_upper,54545.90909090909,0.5343364576160966
0,savings_upper,54545.90909090909,0.5845849715552025
0,savings_upper,54545.90909090909,0.5936553877620393
0,savings_upper,54545.90909090909,0.5617407375618404
0,savings_upper,54545.90909090909,0.5192910493295029
0,savings_upper,54545.90909090909,0.5519270270434095
0,savings_upper,54545.90909090909,0.5265934361612122
0,savings_upper,54545.90909090909,0.5910762801818847
0,savings_upper,54545.90909090909,0.5704171397378236
0,savings_upper,54545.90909090909,0.5244486376137489
0,savings_upper,54545.90909090909,0.5053892067657656
0,savings_upper,54545.90909090909,0.597044725729875
