,Bins,Monthly_Average_Income,<25,25-35,35-45,45-55,55-65,65-75,>75
32,32,4916.666666666667,0.9971671388101987,0.854468085106383,0.7098138747884942,0.6447902571041948,0.7158273381294964,0.8991452991452992,0.9677083333333333
33,33,5083.333333333333,1.0000000000000004,0.8748936170212765,0.7360406091370559,0.6698240866035182,0.737410071942446,0.9102564102564102,0.9718749999999999
34,34,5250.0,1.0000000000000004,0.8919148936170213,0.7605752961082911,0.6941813261163734,0.7575539568345323,0.9205128205128205,0.9760416666666666
35,35,5416.666666666667,1.0000000000000004,0.9063829787234042,0.7834179357021998,0.7171853856562922,0.7762589928057553,0.929059829059829,0.9791666666666666
36,36,5583.333333333333,1.0000000000000004,0.9191489361702128,0.8045685279187819,0.7395128552097427,0.7942446043165466,0.9367521367521366,0.9822916666666667
37,37,5750.0,1.0000000000000004,0.9302127659574468,0.8240270727580373,0.7604871447902569,0.8107913669064747,0.9435897435897435,0.984375
38,38,5916.666666666667,1.0000000000000004,0.9395744680851064,0.8417935702199663,0.780784844384303,0.8266187050359711,0.9495726495726494,0.9864583333333333
39,39,6083.333333333333,1.0000000000000004,0.9472340425531914,0.8578680203045687,0.7997293640054126,0.8410071942446042,0.9547008547008545,0.9885416666666667
40,40,6250.0,1.0000000000000004,0.9540425531914893,0.8722504230118444,0.8173207036535858,0.8546762589928056,0.9598290598290596,0.990625
41,41,6416.666666666667,1.0000000000000004,0.96,0.8849407783417936,0.8335588633288226,0.8676258992805754,0.9641025641025639,0.9916666666666667
42,42,6583.333333333333,1.0000000000000004,0.9651063829787234,0.8967851099830796,0.848443843031123,0.8791366906474819,0.9675213675213673,0.9927083333333334
43,43,6750.0,1.0000000000000004,0.9693617021276596,0.906937394247039,0.8626522327469551,0.8899280575539568,0.9709401709401707,0.9937500000000001
44,44,6916.666666666667,1.0000000000000004,0.9727659574468085,0.9162436548223352,0.8755074424898509,0.8999999999999999,0.9735042735042733,0.9947916666666669
45,45,7083.333333333333,1.0000000000000004,0.9761702127659574,0.9247038917089679,0.8870094722598103,0.9093525179856115,0.9760683760683758,0.9958333333333336
46,46,7250.0,1.0000000000000004,0.9787234042553191,0.9323181049069375,0.8978349120433015,0.9179856115107913,0.9786324786324784,0.9968750000000003
47,47,7416.666666666667,1.0000000000000004,0.9812765957446808,0.9390862944162437,0.9073071718538562,0.9258992805755395,0.9811965811965809,0.997916666666667
48,48,7583.333333333333,1.0000000000000004,0.9838297872340426,0.9450084602368867,0.9161028416779429,0.933093525179856,0.9829059829059826,0.9989583333333337
49,49,7750.0,1.0000000000000004,0.985531914893617,0.9500846023688664,0.9242219215155613,0.9395683453237409,0.9846153846153843,1.0000000000000004
50,50,7916.666666666667,1.0000000000000004,0.9872340425531915,0.9551607445008461,0.9316644113667115,0.9453237410071942,0.986324786324786,1.0000000000000004
51,51,8083.333333333333,1.0000000000000004,0.9889361702127659,0.9593908629441625,0.9384303112313935,0.9503597122302158,0.9880341880341877,1.0000000000000004
